"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"539","ஆப மன், வாழி தோழி, கால் விரிபு","āpa maṉ, vāḻi tōḻi, kāḷ viṟipu","May you live long, my friend!","Long life","Friendship","Wish"
"540","உறு வளி எறிதொறும் கலங்கிய பொறி வரிக்","uṟu vaḷi eṟitōṟum kaḷaṅkiya poṟi variṟ","He went to the forest, where mature seed pods of vākai","Forest","Mature seed pods","Descriptive imagery"
"541","கலைமான் தலையின் முதன் முதல் கவர்த்த","kaḷaimāṉ talaiyin mutan mutan kavarttha","trees with short trunks that are forked like new antlers","Short trunks","New antlers","Simile"
"542","கோடலங்கவட்ட குறுங்கால் உழுஞ்சில்","kōṭalaṅkavaṭṭa kuṟuṅkāḷ uḻuñciṉ","of a stag with spots and lines which gets confused when heavy gusts of spreading wind blows","Spots and lines","Heavy wind","Imagery"
"543","தாறு சினை விளைந்த நெற்றம், ஆடுமகள்","tāṟu cinai viḷainta neṟṟam, āṭumakaḷ","rattle like the parai drumbeats of dancing girls","Drumbeats","Dancing girls","Simile"
"544","அரிக் கோல் பறையின் ஐயென ஒலிக்கும்","aṟik kōl paṟaiyiṉ aiyena oliikkum","and lizards resting on the thorny trunks of kalli trees in the shade of stone heaps","Lizards","Thorny trunks","Visual imagery"
"545","பதுக்கைத்து ஆய செதுக்கை நீழல்,","patukkaittu āya setukkai nīḻal,","covering shallow graves, cluck in clear tones","Shallow graves","Clucking","Imagery"
"546","கள்ளி முள் அரைப் பொருந்திச், செல்லுநர்க்கு","kaḷḷi muḷa aṟai poruṉṟic, selluṉaṟkku","that sound like those from bells with small fine clappers","Bells","Fine clappers","Simile"
"547","உறுவது கூறும் சிறு செந்நாவின்","uṟuṉṟaṉṟu kūṟum siṟu ceṉṉāviṉ","as though they are announcing omens to those who go on the path","Announcing omens","Path","Imagery"
"548","மணி ஓர்த்தன்ன தெண்குரல்","maṇi ōṟttanna teṇkuṟal","My friend looks at the seashore groves","Seashore groves","Friend's gaze","Imagery"
"549","கணிவாய்ப் பல்லிய காடு இறந்தோரே.","kaṇivāy piḷḷiya kāḍu iṟantōrē.","and the backwaters that are cool with red waterlilies that bloom in the mornings","Backwaters","Red waterlilies","Imagery"
"550","நெஞ்சு நடுங்கு அரும் படர் தீர வந்து,","neñcu naṭuṅku arum paṭar tīra vaṇḍu,","She is returning to her small village next to the mountains, after ending the great sorrow that made my heart tremble.","Return and Sorrow","Mountain village","Narrative"
"551","குன்று உழை நண்ணிய சீறூர் ஆங்கண்","kuṉṟu uḻai naṇṇiya cīṟūr āṅkaṇ","Her wavy, curled, five-part hair, as lovely as the feathers of the joyous peacocks","Wavy hair","Feathers of peacocks","Simile"
"552","செலீஇய பெயர்வோள் வணர் சுரி ஐம்பால்,","celīīya peyarvōḷ vaṇar suri aimpāl,","on the slopes of Pāzhi in the Ēzhil mountains belonging to Nannan of great fame","Pāzhi mountains","Fame and reputation","Imagery"
"553","நுண் கோல் அகவுநர்ப் புரந்த பேரிசைச்","nuṉ kōl akavūṉaṟp puranta pēṟicai,","wearing pearl strands, a great donor who rejoices when he gives away elephants","Pearl strands","Donor and elephants","Direct statement"
"554","சினங்கெழு தானைத் தித்தன் வெளியன்,","ciṉaṅkeḻu tāṉaith thittaṉ veḷiyaṉ,","lord of Pāram town with winning victorious spears, who crushed in battle Pindan with might and great enmity","Lord and battle","Victorious spears","Narrative"
"555","இரங்கு நீர்ப் பரப்பின் கானலம் பெருந்துறைத்","iraṅku nīr-p parappin kāṉalam peruntuṟai,","like how schools of small white shrimp attacked and shattered ships","Shrimp and ships","Attack and destruction","Simile"
"556","தனந்தரு நன்கலம் சிதையத் தாக்கும்","taṉantaru naṉkaḷam cidayat tākkum","that bring wealth to the wide port in Kānalam with roaring waves","Wide port","Roaring waves","Imagery"
"557","சிறு வெள்ளிறவின் குப்பை அன்ன","siṟu veḷḷiṟaviṉ kuppai aṉṉa","in the land of Thithan Veliyan of great fame, who nurtured diviner bards with slim rods","Land of Thithan Veliyan","Diviner bards","Narrative"
"558","உறு பகை தரூஉம் மொய்ம் மூசு பிண்டன்","uṟu pakai tarūṉṟum moym mūcu piṇṭaṉ","and owns a massive, enraged army.","Massive army","Enraged","Direct statement"
"559","முனை முரண் உடையக் கடந்த வென்வேல்,","muṉai muṟaṉ uṭaiyak kaṭanta veṉvēl,","Even though they are far away, they give me shivering pain","Far away","Shivering pain","Emotional imagery"
"560","இசை நல் ஈகைக் களிறு வீசு வண் மகிழ்ப்","icai naḷ īkai kḷiṟu vīcu vaṇ makiḻp","her arms, which are like the spaces between the nodes of bamboo","Bamboo nodes","Arm spaces","Simile"
"561","பாரத்துத் தலைவன், ஆர நன்னன்","pārattut talaivaṉ, āṟa naṉṉaṉ","growing in Thalaiyāru on the tall mountains with elephant-filled forests of Āy","Thalaiyāru mountains","Elephant-filled forests","Imagery"
"562","ஏழில் நெடுவரைப் பாழிச் சிலம்பில்","ēḻil neṭuvarai-p pāḻic cilampiṟ","who filled with rice the deep food bowls of bards who went to him","Deep food bowls","Rice","Direct statement"
"563","களிமயில் கலாவத்து அன்ன, தோளே","kaḷimayil kalāvatthu aṉṉa, tōḷē","whether they were skilled or not, and have the fragrances of many splendid","Fragrances","Splendid flowers","Imagery"
"564","வல்வில் இளையர் பெருமகன் நள்ளி","valvil iḷaiyaṟ perumaṉaṉ naḷḷi","pretty kānthal flowers among those sacred to gods","Kānthal flowers","Sacred flowers","Imagery"
"565","சோலை அடுக்கத்துச் சுரும்பு உண விரிந்த","cōlai aṭukkattiṯṯu curumpu uṇa virinta","opened by frequenting bees that taste them, in the groves on the slopes of Nalli","Bee-tasted flowers","Groves","Imagery"
"566","கடவுள் காந்தள் உள்ளும் பலவுடன்","kaṭavuḷ kāntal uḷḷum palavuṭaṉ","leader to warriors with strong bows","Warriors","Strong bows","Direct statement"
"567","இறும்பூது கஞலிய ஆய் மலர் நாறி","iṟumpūtu kañaliṉ āy malar nāṟi","among those sacred to gods, opened by frequenting bees that taste them","Sacred to gods","Frequenting bees","Imagery"
"568","வல்லினும் வல்லார் ஆயினும் சென்றோர்க்குச்","vallaṉum vallār āyiṉum ceṉṟōrkkuc","whether they were skilled or not, and have the fragrances of many splendid","Skilled or not","Fragrances","Direct statement"
"569","சால் அவிழ் நெடுங்குழி நிறைய வீசும்","cāl avaḻ nēṭuṅkuḻi niṟaiya vīcum","her arms, which are like the spaces between the nodes of bamboo","Spaces between nodes","Bamboo nodes","Simile"
"570","மாஅல் யானை ஆஅய் கானத்துத்","māḷ yāṉai āāy kāṉattut","in the land of Thithan Veliyan of great fame","Thithan Veliyan","Fame","Direct statement"
"571","தலையாற்று நிலைஇய சேய் உயர் பிறங்கல்","talaiyāṟṟu niṟaiya cēy uyir piṟaṅkaḷ","who filled with rice the deep food bowls of bards who went to him","Deep food bowls","Rice","Imagery"
"572","வேய் அமைக் கண் இடை புரைஇச்","vēy amaik kaṇ iṭai puṟaiic","and has the fragrances of many splendid, pretty kānthal flowers among those sacred to gods","Fragrances of flowers","Sacred flowers","Imagery"
"573","சேய ஆயினும், நடுங்கு துயர் தருமே.","cēya āyiṉum, naṭuṅku tuyar tarumē.","Even though they are far away, they give me shivering pain","Shivering pain","Distance","Emotional imagery"
"574","நோகோ யானே! நோதகும் உள்ளம்,","nōkō yāṉē! nōtakam uḷḷam,","I am hurting! My heart hurts!","Heartache and Pain","Emotional distress","Repetition"
"575","அம் தீம் கிளவி ஆயமொடு கெழீஇப்,","am tīṉ kiḷavi āyamōṭu keḻīīp,","My daughter of sweet words would suffer a lot even when she played ball with friends.","Suffering and Loss","Sweet words and play","Metaphor"
"576","பந்துவழிப் படர்குவள் ஆயினும் நொந்து நனி","pantuvaḻip paṭarkuvaḷ āyiṉum noṉdu naṉi","Now, desiring the sweet words of that harsh man who embraced her to his chest and uttered them,","Harsh man and Desire","Embracing and words","Imagery"
"577","வெம்பும் மன் அளியள் தானே, இனியே,","veṉbum maṉ aḷiyaḷ tāṉē, iṉiyē,","she does not think of the great pain that it has caused us.","Pain and Neglect","Great pain","Contrast"
"578","வன்கணாளன் மார்பு உற வளைஇ","vaṉkaṇāḷaṉ māṟpu uṟa vaḷaiī","Is she who is delicate, capable of walking with her fine feet on the difficult forest path,","Delicate and Path","Forest path","Question"
"579","இன் சொல் பிணிப்ப நம்பி நம் கண்","iṉ col piṇippa naṉbi naṉ kaṇ","where blowing winds cause loud bamboo friction, nodes rub and sparks scatter","Bamboo friction and Sparks","Blowing winds","Imagery"
"580","உறுதரு விழுமம் உள்ளாள், ஒய்யெனத்","uṟutaru viḻumam uḷḷāḷ, oyyeṉat","creating rising sharp flames, as the dry mountain summits lose their benefits,","Rising flames","Dry mountains","Simile"
"581","தெறு கதிர் உலைஇய வேனில் வெங்காட்டு","teṟu katir uḷaiiya vēṉil veṅkāṭṭu","crossing the wasteland blocked by huge mountains,","Wasteland and Mountains","Blocked paths","Imagery"
"582","உறு வளி ஒலி கழைக் கண்ணுறுபு தீண்டலின்","uṟu vaḷi oḷi kaḻaik kaṇṇuṟupu tīṇṭalin","and on the mountain slopes, chosen clusters of kongam flowers with honey are swarmed by bees","Kongam flowers","Mountain slopes","Descriptive"
"583","பொறி பிதிர்பு எடுத்த பொங்கி எழு கூர் எரிப்","poṟi pitirpu eṭutta poṅki eḻu kūr eṟip","appearing like the night sky splendid with stars, the winds dropping their flowers","Night sky and Stars","Splendid appearance","Simile"
"584","பைதறு சிமையப் பயம் நீங்கு ஆர் இடை","paiṟaṟu cimaiyap payam nīṅku ār iṭai","that spread their fragrance, appearing like falling shooting stars in the huge mountain","Shooting stars","Fragrance","Imagery"
"585","நல் அடிக்கு அமைந்த அல்ல மெல்லியல்","nal aṭikku amainta alla melliyal","with clouds, crossing the wasteland blocked by huge mountains,","Clouds and Mountains","Crossing wasteland","Imagery"
"586","வல்லுநள் கொல்லோ தானே, எல்லி","valluṉaḷ koḷḷō tāṉē, elli","where bees, appearing like falling stars, bring fragrance to the huge mountain","Falling stars and Bees","Fragrance","Simile"
"587","ஓங்கு வரை அடுக்கத்து உயர்ந்த சென்னி","ōṅku varai aṭukkattiṯṯu uyarntha ceṉṉi","and have the fragrances of many splendid, pretty kānthal flowers among those sacred to gods","Kānthal flowers","Sacred to gods","Imagery"
"588","மீனொடு பொலிந்த வானின் தோன்றித்","mīṉoṭu poliṉṟa vāṉiṉ tōṉṟit","opened by frequenting bees that taste them, in the groves on the slopes of Nalli","Groves and Nalli","Bees and flowers","Imagery"
"589","தேம் பாய்ந்து ஆர்க்கும் தெரி இணர்க் கோங்கின்","tēm pāyndu āṟkkum teri iṉaṟk kōṅkiṉ","The beauty of the mountain's appearance,","Mountain beauty","Appearance","Descriptive"
"590","காலுறக் கழன்ற கள் கமழ் புது மலர்","kāluṟak kaḻaṉṟa kaḷ kamazhu putu malar","appearing like falling shooting stars in the huge mountain","Falling stars","Mountain flowers","Simile"
"591","கைவிடு சுடரின் தோன்றும்,","kaivitu cuṭariṉ tōṉṟum,","like the night sky splendid with stars","Night sky","Stars","Simile"
"592","மைபடு மா மலை விலங்கிய சுரனே?","maipatu mā malai vilaṅkiya curanē?","O my daughter, who has left to live with that man in the huge mountain?","Departure and Mountains","Emotional plea","Direct address"
"593","படுமழை பொழிந்த பய மிகு புறவின்","paṭumazhai poḻinda paya mikku puṟaviṉ","In the long paths of the woodlands","Woodlands and Rain","Long paths and heavy rain","Setting"
"594","நெடுநீர் அவல பகுவாய்த் தேரை","neṭunīr avala pakuvāyṯ tērai","where heavy rains have yielded","Heavy rain and benefits","Filled pits with water","Imagery"
"595","சிறு பல் இயத்தின் நெடுநெறிக் கறங்கக்","ciṟu pal iyattiṉ neṭunēṟik kaṟaṅkak","great benefits, toads, with gaping mouths in long pits filled with water","Toads and Long Pits","Gaping mouths","Imagery"
"596","குறும்புதற் பிடவின் நெடுங்கால் அலரி","kuṟumputaṟk piṭaviṉ neṭunkāḷ alari","croak like many small musical instruments","Musical croaking","Small instruments","Simile"
"597","செந்நில மருங்கின் நுண் அயிர் வரிப்ப,","ceṉṉila maruṅkiṉ nuṇ ayir varippa,","long-stemmed pidavam flowers on small bushes have decorated","Pidavam flowers","Decorated sand","Imagery"
"598","வெஞ்சின அரவின் பை அணந்தன்ன","veñciṉa araviṉ pai aṇantanna","the fine sand in the ground with red soil","Fine sand and red soil","Decorated ground","Imagery"
"599","தண்கமழ் கோடல் தாது பிணி அவிழத்","taṇkamazhu kōṭal tādu piṇi avizhaṯ","cool, fragrant kōdal buds with pollen have opened their petals","Kōdal buds","Fragrant petals","Imagery"
"600","திரி மருப்பு இரலை தெள் அறல் பருகிக்","tiri maruppu iralai teḷ aṟal parugiṟk","looking like the raised hoods of very angry snakes","Raised hoods","Angry snakes","Simile"
"601","காமர் துணையொடு ஏமுற வதியக்","kāmar tuṇaiyoṭu ēmuṟa vadiyak","and a stag with twisted antlers drinks clear water from a stream and lives happily with his pretty mate","Stag and clear water","Happy stag","Imagery"
"602","காடு கவின் பெற்ற தண் பதப் பெருவழி","kāṭu kaviṉ peṟṟa taṇ patap peruvaḻi","The forest has attained great beauty and the wide path is cool.","Forest beauty","Cool path","Description"
"603","ஓடு பரி மெலியாக் கொய் சுவற் புரவித்","ōḍu pari meḷiyāk koṟṟu suvaṟ puraviṯ","Ride the chariot, oh charioteer with your rapidly galloping horses with trimmed mane and jingling anklets on their feet","Chariot and horses","Rapidly galloping horses","Imagery"
"604","தாள் தாழ் தார் மணி தயங்குபு இயம்ப","tāḷ tāḻ tāṟ maṇi tayangupu iyampa","and go to the beautiful, dark young woman who has great love for me!","Beautiful young woman","Love and beauty","Direct address"
"605","அறன் கடைப்படாஅ வாழ்க்கையும், என்றும்","aṟaṉ kaṭai paṭāṟ vāḻkkaiyum, eṉṟum","He stroked my dark, beautiful, five-part braid and said, 'One wearing beautiful jewels!'","Justice and Wealth","Braids and jewels","Direct Address"
"606","பிறன் கடைச் செலாஅச் செல்வமும் இரண்டும்","piṟaṉ kaṭaic celāṟaṟ celvamum iraṇḍum","Life lived without ruining justice, and wealth obtained without standing on the doors of others and begging, is wealth to be made.","Life and Wealth","Begging and wealth","Philosophical Reflection"
"607","பொருளின் ஆகும் புனை இழை” என்று நம்","poṟuḷiṉ āgum puṉai iḻai” eṉṟu naṉ","'Wealth to be made.'","Wealth and Virtue","Virtue and wealth","Quotation"
"608","இருள் ஏர் ஐம்பால் நீவியோரே,","iṟuḷ ēṟa iḷampāl nīviṉōrē,","We suffer with this affliction.","Suffering","Affliction","Expression of Suffering"
"609","நோய் நாம் உழக்குவம் ஆயினும் தான் தம்","nōy nām uḻakkuvam āyiṉum tāṉ taṉ","Yet, let him finish his work, my friend,","Work and Duty","Effort and completion","Direct Address"
"610","செய் வினை முடிக்க தோழி, பல்வயின்","cey viṉai muṭikka tōḻi, palvayin","going on the mountains where hemp plants are parched,","Mountains and Parched Land","Hemp plants and mountains","Imagery"
"611","பய நிரை சேர்ந்த பாண் நாட்டு ஆங்கண்","paya nirai cēṉṟa pāṇ nāṭṭu āṅkaṇ","and unable to find water in the dried up small pits dug","Dried Pits and Water","Dried pits","Imagery"
"612","நெடுவிளிக் கோவலர் கூவல் தோண்டிய","neṭuviḷik kōvalar kūvaḷ tōṇṭiya","by cattle herders with long whistles,","Cattle Herders and Whistles","Herders and water drawing","Imagery"
"613","கொடுவாய்ப் பத்தல் வார்ந்து உகு சிறு குழி,","koṭuvāyp pattal vāṉḍu uḵu ciṟu kuḻi,","of Pānan’s prosperous country, who use buckets with curved mouths to draw water,","Buckets and Water","Buckets and water drawing","Imagery"
"614","நீர் காய் வருத்தமொடு சேர்விடம் பெறாது","nīr kāy varuttamōṭu cēṟviṭam peṟādu","a huge bull elephant, filled with sorrow and not finding a place to rest,","Bull Elephant and Sorrow","Elephant's suffering","Imagery"
"615","பெருங்களிறு மிதித்த அடி அகத்து இரும்புலி","peṟuṅkiḻiṟu mītiṭṭa aṭi akattu iṟumpuli","walks on paths with mud, stalked by big tigers","Mud Paths and Tigers","Mud paths and tigers","Imagery"
"616","ஒதுங்குவன கழிந்த செதும்பல் ஈர்வழி,","oṭuṅkuvaṉ kaḻinda cetumpal īrvaḻi,","that walk on his footsteps that are imprinted on mud","Footsteps and Mud","Footsteps and imprints","Imagery"
"617","செயிர் தீர் நாவின் வயிரியர் பின்றை","ceyir tīr nāviṉ vayiriyar piṉṟai","appearing like the finger marks on the clay tops","Finger Marks and Drums","Finger marks","Simile"
"618","மண் ஆர் முழவின் கண் அகத்து அசைத்த","maṇ āṟ muḻaviṉ kaṇ akattu acaitta","of drums played by musicians.","Drums and Music","Drum tops","Imagery"
"619","விரல் ஊன்று வடுவின் தோன்றும்","viṟal ūṉṟu vaṭuviṉ tōṉṟum","and the drums played by musicians.","Musicians and Drumming","Drumming","Imagery"
"620","மரல் வாடு மருங்கின் மலை இறந்தோரே.","maral vāṭu maruṅkiṉ malai iṟantōrē.","like the finger marks on the clay tops of drums played by musicians.","Clay Drums and Musicians","Clay drums","Simile"
"621","முரசுடைச் செல்வர் புரவிச் சூட்டு","murasuṭaic celvar puravicc cūṭṭu","Oh man from the town with sweet streams,","Town and Streams","Sweet streams","Direct Address"
"622","மூட்டுறு கவரி தூக்கியன்ன,","mūṭṭuṟu kavari tūkiyanna,","where thick, fine paddy grows high like","Paddy and Agriculture","Paddy fields","Simile"
"623","செழுஞ்செய் நெல்லின் சேயரிப் புனிற்றுக் கதிர்","cezuṉcey neḷḷiṉ cēyarip puṉiṟṟuk katir","the lifted yak-tail fans adorning the heads","Yak-tail fans and Adornment","Yak-tail fans","Imagery"
"624","மூது ஆ தின்றல் அஞ்சிக், காவலர்","mūtu ā tiṉṟal añciṉ, kāvalar","of horses owned by rich kings with drums,","Rich Kings and Drums","Horses and drums","Imagery"
"625","பாகல் ஆய் கொடிப் பகன்றையொடு பரீஇக்,","pākal āy koṭip pakaṉṟaiyoṭu parīīk,","and field guards protect the tender","Field Guards and Protection","Field guards","Imagery"
"626","காஞ்சியின் அகத்துக் கரும்பு அருத்தி யாக்கும்","kāñciyiṉ akattuk karumpu arutti yākkum","paddy grains from old cows by tying them","Sugarcane and Vine Ropes","Sugarcane and vines","Imagery"
"627","தீம்புனல் ஊர! திறவிதாகக்","tīmpuṉal ūṟa! tiṟavidhākk","to kānji trees with ropes made from the","Kānji Trees and Vine Ropes","Kānji trees","Imagery"
"628","குவளை உண்கண் இவளும் யானும்","kuvaḷai uṇkaṇ ivaḷum yāṉum","vines of beautiful bittermelon and","Bittermelon Vines and Beauty","Bittermelon","Imagery"
"629","கழனி ஆம்பல் முழு நெறிப் பைந்தழை,","kaḻaṉi āmpal muḻu neṟip paindazai,","pakandrai, and feeding them sugarcane!","Sugarcane and Feeding","Sugarcane","Imagery"
"630","காயா ஞாயிற்று ஆகத்துப் அலைப்பப்,","kāyā ñāyiṟṟu ākaṯṯup aḷaippap,","My friend with pretty, bluelily-like,","Friend and Appearance","Blue lilies","Simile"
"631","“பொய்தல் ஆடிப் பொலிக” என வந்து","poytal āṭip polika eṉaṉṟu","kohl-lined eyes and I made the mistake","Mistake and Kohl","Kohl-lined eyes","Imagery"
"632","நின் நகாப் பிழைத்த தவறே பெரும,","niṉ nakāp piḻaitta tavare peruma,","of laughing with you, when we came with","Laughing and Joy","Laughing","Narrative Reflection"
"633","கள்ளும் கண்ணியும் கையுறையாக","kaḷḷum kaṇṇiyum kaiyuṟāyāka","leaf and waterlily garments to play poykai","Leaf and Waterlily Garments","Waterlily garments","Imagery"
"634","நிலைக் கோட்டு வெள்ளை நால் செவிக் கிடாஅய்","niḷaik kōṭṭu veḷḷai nāl cevikk kiṭāḍāy","games and enjoy ourselves when the sun","Sun and Enjoyment","Games and enjoyment","Imagery"
"635","நிலைத் துறைக் கடவுட்கு உளப்பட ஓச்சித்,","nilaiṯ ṭuṟaik kaṭavuṭk ūḷappaṭa ōccit,","was not burning.","Offering and Rituals","Offering","Imagery"
"636","தணி மருங்கு அறியாள், யாய் அழ","taṇi maruṅku aṟiyāḷ, yāy aḻa","Her mother made heart-felt offerings to","Mother and Offerings","Heart-felt offerings","Imagery"
"637","மணி மருள் மேனி பொன் நிறம் கொளலே.","maṇi maṟuḷ mēṉi poṉ niṟam koḷalē.","the god on the shore with liquor, flower strands and a white male goat with stable horns and long ears.","God and Offerings","Goat and Offerings","Imagery"
"638","அழை இழுவாறு பளிர் தேயவுங்","aḻai iḻuvāṟu paḷir tēyavuṅk","She cries without knowing why her daughter’s","Crying and Suffering","Crying","Imagery"
"639","இருந்தால் யாது மேலாய் சுடா நரி","iruṉṟāl yātu mēlāy cuṭā nari","illness has not gone away and why her","Illness and Golden Color","Illness","Imagery"
"640","என் நவல் பசும் சிவப்பர் குழி","eṉ naval pacum civappar kuḻi","sapphire-like body has attained golden color.","Sapphire Body and Color","Sapphire","Imagery"
"641","அரியல் பெண்டிர் அல்குல் கொண்ட","ariyal peṇṭir alkuḷ koṇḍa","You tell me that he went alone on the","Wasteland Path","Wasteland path","Direct Address"
"642","பகுவாய்ப் பானைக் குவி முனை சுரந்த","pakuvāyp pāṉaik kuvi muṉai cūraṉta","wasteland path, where kongam trees grow on","Kongam Trees","Kongam trees","Imagery"
"643","அரி நிறக் கலுழி ஆர மாந்திச்,","ari niṟak kaḷuḻi āṟ māntiṉc,","shallow graves of those slain by arrows","Shallow Graves and Arrows","Shallow graves","Imagery"
"644","செரு வேட்டுச் சிலைக்கும் செங்கண் ஆடவர்,","ceru vēṭṭuṟ cilaiykkum ceṅkaṇ āṭavar,","shot from bows of loud men with red eyes,","Loud Men and Red Eyes","Red eyes","Imagery"
"645","வில் இட வீழ்ந்தோர் பதுக்கைக் கோங்கின்","vil iṭa vīḻntuṟ paṟukkaik kōṅkiṉ","who drink filtered, colored, thick liquor","Thick Liquor and Filtration","Filtered liquor","Imagery"
"646","எல்லி மலர்ந்த பைங்கொடி அதிரல்","elli malarnta paiṅkoṭi atiral","poured from the pointed lips of wide-mouthed","Pointed Lips and Wide-mouthed Pots","Wide-mouthed pots","Imagery"
"647","பெரும் புலர் வைகறை அரும்பொடு வாங்கிக்,","perum pular vaikṟai arumpoṭu vāṅkiḳ,","pots carried by liquor-selling women, on their waists,","Liquor-selling Women and Pots","Liquor-selling women","Imagery"
"648","கான யானை கவளம் கொள்ளும்","kāṉa yāṉai kavalam koḷḷum","and forest elephants eat the fresh athiral flowers","Forest Elephants and Athiral Flowers","Forest elephants","Imagery"
"649","அஞ்சுவரு நெறி இடைத் தமியர் சென்மார்","añcuvaru neṟi iṭaiṯ tamiyar ceṉmār","that blossom at night along with buds,","Blossoming Flowers and Buds","Athiral flowers","Imagery"
"650","நெஞ்சு உண மொழிப மன்னே தோழி,","neñcu uṇa moḻipa maṉṉē tōḻi,","He will say to his heart’s content that only","Heartfelt Speech and Strength","Heart’s content","Narrative Reflection"
"655","உறும் உரறு கருவிய பெருமழை தலைஇப்","uṟum uraṟu karuviya perumaḻai talaip","May you live long, mother! Please listen to me!","Request for Compassion","Thunderstorm","Direct Address"
"656","பெயல் ஆன்று அவிந்த தூங்கு இருள் நடுநாள்,","peyala āṉṟu avinda tūṅku iruḷ naṭunāḷ,","Do not harass her, saying that you saw her go up","Harassment and Rain","Ear-rings and Midnight Lightning","Imagery"
"657","மின்னு நிமிர்ந்தன்ன கனங்குழை இமைப்பப்,","miṉṉu nimirntaṉṉa kaṉaṅkuḻai imaiyppap,","and come down the lookout platform like a peacock","Lookout Platform and Peacock","Thick Earrings and Lightning","Simile"
"658","பின்னு விடு நெறியில் கிளைஇய கூந்தலள்","piṉṉu viṭu neṟiyil kiḷaiyiya kūntalaḷ","coming down the mountain, with her thick earrings","Thick Braided Hair","Mountain and Earrings","Imagery"
"659","வரை இழி மயிலின் ஒல்குவனள் ஒதுங்கி","varai iḻi mayilin oḷkuvaṇaḷ othuṅki","that gleamed like midnight lightning, and spreading, loosely braided hair","Midnight Lightning and Braided Hair","Midnight Lightning","Simile"
"660","மிடை ஊர்பு இழியக் கண்டனென் இவள்’, என","miṭai ūṟpu iḻiyakk kaṇṭaṉeṉ ivaḷ’, eṉa","when heavy rains with roaring thunder and lightning had stopped, and it was pitch dark!","Heavy Rain and Darkness","Pitch Darkness","Imagery"
"661","அலையல், வாழி வேண்டு அன்னை, நம் படப்பைச்","alaiyal, vāḻi vēṇḍu aṉṉai, naṉ paṭappaic","Those who dream in their sleep can get confused","Dreams and Confusion","Dreams","Narrative Reflection"
"662","சூர் உடைச் சிலம்பில் சுடர்ப் பூ வேய்ந்து","cūr uṭaic cilampiḷ cuṭaṟp pū vēyñtu","and feel like they saw in person the gods who wear","Gods and Flowers","Bright Flowers","Imagery"
"663","தாம் வேண்டு உருவின் அணங்குமார் வருமே,","tām vēṇḍu uraviṉ aṇaṅkumār varumē,","bright flowers from our grove and appear in the forms that they desire.","Grove and Desired Forms","Desired Forms","Imagery"
"664","நனவின் வாயே போலத் துஞ்சுநர்க்","naṉaviṉ vāyē pōlat tuñcuṉaṟk","She trembles when she is alone in the dark","Trembling and Darkness","Darkness and Trembling","Imagery"
"665","கனவு ஆண்டு மருட்டலும் உண்டே, இவள் தான்","kaṉavu āṇṭu maṟuṭṭaḷum uṇṭē, ivaḷ tāṉ","and seeks protection due to her fear when the owl","Seeking Protection and Fear","Fear and Protection","Imagery"
"666","சுடர் இன்று தமியளும் பனிக்கும் வெருவர","cuṭar iṉṟu tamiyalum paṉikkum veṟuvara","on the kadampam tree in the common ground hoots.","Owl and Kadampam Tree","Kadampam Tree","Imagery"
"667","மன்ற மராஅத்த கூகை குழறினும்,","maṉṟa marāṟaṯṯa kūkai kuḻaṟiṉum,","On top of that, if she does something, won’t she be","Something and Fear","Something and Fear","Imagery"
"668","நெஞ்சு அழிந்து அரணம் சேரும் அதன்தலைப்","neñcu aḻintu araṇam cēṟum ataṉ talai","afraid of her father, who is in the house abandoning","Father and House","Fear and Abandonment","Imagery"
"669","புலிக் கணத்து அன்ன நாய் தொடர் விட்டு,","pulik kaṇattṯa anna nāy toṭar viṭṭu,","hunting with his pack of dogs that are like a group","Pack of Dogs","Group of Dogs","Simile"
"670","முருகன் அன்ன சீற்றத்துக் கடுந்திறல்","murukaṉ anna cīṟṟatthuk kaḍuntiraḷ","of tigers, and is filled with great rage like Murukan?","Murukan’s Rage","Murukan","Simile"
"671","எந்தையும் இல்லன் ஆக,","eṉṟaiyum illāṉ āka,","Will she not be afraid of this?","Fear and Rage","Rage and Fear","Direct Address"
"672","அஞ்சுவள் அல்லளோ, இவளிது செயலே?","añcuvaḷ allaḷō, ivaḷitu ceyalē?","She will be afraid, won’t she?","Fear and Inaction","Fear","Direct Address"
"651","முனை புலம் பெயர்த்த புல்லென் மன்றத்துப்","muṉai pulam peyartta pullḷeṉ maṉṟattup","those who are strong can stay home like","Strength and Home","Strong individuals","Imagery"
"652","பெயலுற நெகிழ்ந்து வெயிலுறச் சாஅய்","peyalura nekiḻntu veyiluṟaṟ cāāy","the finely crafted goddess statue in the town’s","Finely Crafted Statue","Goddess statue","Imagery"
"653","வினை அழி பாவையின் உலறி,","viṉai aḻi pāvāyiṉ uḷaṟi,","square, abandoned after people were chased","Abandonment and War","Abandoned statue","Imagery"
"654","மனை ஒழிந்து இருத்தல் வல்லுவோர்க்கே.","maṉai oḻintu iruttal valluvōṟk kē.","away in war time, ruined, after being loosened","Ruins and Destruction","Ruined statue","Imagery"
"655","உறும் உரறு கருவிய பெருமழை தலைஇப்","uṟum uraṟu karuviya perumaḻai talaip","May you live long, mother! Please listen to me!","Request for Compassion","Thunderstorm","Direct Address"
